regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos
Brasil,,,76.0,,,,2020-02-26,9.0,210147125.0,1.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-02-27,9.0,210147125.0,1.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-02-28,9.0,210147125.0,1.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-02-29,9.0,210147125.0,2.0,1.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-01,10.0,210147125.0,2.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-02,10.0,210147125.0,2.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-03,10.0,210147125.0,2.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-04,10.0,210147125.0,3.0,1.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-05,10.0,210147125.0,7.0,4.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-06,10.0,210147125.0,13.0,6.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-07,10.0,210147125.0,19.0,6.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-08,11.0,210147125.0,25.0,6.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-09,11.0,210147125.0,25.0,0.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-10,11.0,210147125.0,34.0,9.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-11,11.0,210147125.0,52.0,18.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-12,11.0,210147125.0,77.0,25.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-13,11.0,210147125.0,98.0,21.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-14,11.0,210147125.0,121.0,23.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-15,12.0,210147125.0,200.0,79.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-16,12.0,210147125.0,234.0,34.0,0.0,0.0,,
Brasil,,,76.0,,,,2020-03-17,12.0,210147125.0,291.0,57.0,1.0,1.0,,
Brasil,,,76.0,,,,2020-03-18,12.0,210147125.0,428.0,137.0,4.0,3.0,,
Brasil,,,76.0,,,,2020-03-19,12.0,210147125.0,621.0,193.0,6.0,2.0,,
Brasil,,,76.0,,,,2020-03-20,12.0,210147125.0,904.0,283.0,11.0,5.0,,
Brasil,,,76.0,,,,2020-03-21,12.0,210147125.0,1128.0,224.0,18.0,7.0,,
Brasil,,,76.0,,,,2020-03-22,13.0,210147125.0,1546.0,418.0,25.0,7.0,,
Brasil,,,76.0,,,,2020-03-23,13.0,210147125.0,1891.0,345.0,34.0,9.0,,
Brasil,,,76.0,,,,2020-03-24,13.0,210147125.0,2201.0,310.0,46.0,12.0,,
Brasil,,,76.0,,,,2020-03-25,13.0,210147125.0,2433.0,232.0,57.0,11.0,,
Brasil,,,76.0,,,,2020-03-26,13.0,210147125.0,2915.0,482.0,77.0,20.0,,
Brasil,,,76.0,,,,2020-03-27,13.0,210147125.0,3417.0,502.0,92.0,15.0,,
Brasil,,,76.0,,,,2020-03-28,13.0,210147125.0,3903.0,486.0,114.0,22.0,,
Brasil,,,76.0,,,,2020-03-29,14.0,210147125.0,4256.0,353.0,136.0,22.0,,
Brasil,,,76.0,,,,2020-03-30,14.0,210147125.0,4579.0,323.0,159.0,23.0,,
Brasil,,,76.0,,,,2020-03-31,14.0,210147125.0,5717.0,1138.0,201.0,42.0,,
Brasil,,,76.0,,,,2020-04-01,14.0,210147125.0,6834.0,1117.0,241.0,40.0,,
Brasil,,,76.0,,,,2020-04-02,14.0,210147125.0,7910.0,1076.0,299.0,58.0,,
Brasil,,,76.0,,,,2020-04-03,14.0,210147125.0,9056.0,1146.0,359.0,60.0,,
Brasil,,,76.0,,,,2020-04-04,14.0,210147125.0,10278.0,1222.0,432.0,73.0,,
Brasil,,,76.0,,,,2020-04-05,15.0,210147125.0,11130.0,852.0,486.0,54.0,,
Brasil,,,76.0,,,,2020-04-06,15.0,210147125.0,12056.0,926.0,553.0,67.0,,
Brasil,,,76.0,,,,2020-04-07,15.0,210147125.0,13717.0,1661.0,667.0,114.0,,
Brasil,,,76.0,,,,2020-04-08,15.0,210147125.0,15927.0,2210.0,800.0,133.0,,
Brasil,,,76.0,,,,2020-04-09,15.0,210147125.0,17857.0,1930.0,941.0,141.0,,
Brasil,,,76.0,,,,2020-04-10,15.0,210147125.0,19638.0,1781.0,1056.0,115.0,,
Brasil,,,76.0,,,,2020-04-11,15.0,210147125.0,20727.0,1089.0,1124.0,68.0,,
Brasil,,,76.0,,,,2020-04-12,16.0,210147125.0,22169.0,1442.0,1223.0,99.0,,
Brasil,,,76.0,,,,2020-04-13,16.0,210147125.0,23430.0,1261.0,1328.0,105.0,,
