regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Centro-Oeste,DF,,53,,,,2020-02-25,9,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-02-26,9,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-02-27,9,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-02-28,9,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-02-29,9,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-01,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-02,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-03,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-04,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-05,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-06,10,3015268,0,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-07,10,3015268,1,1.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-08,11,3015268,1,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-09,11,3015268,1,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-10,11,3015268,1,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-11,11,3015268,2,1.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-12,11,3015268,2,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-13,11,3015268,2,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-14,11,3015268,6,4.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-15,12,3015268,8,2.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-16,12,3015268,13,5.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-17,12,3015268,22,9.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-18,12,3015268,26,4.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-19,12,3015268,42,16.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-20,12,3015268,87,45.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-21,12,3015268,100,13.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-22,13,3015268,117,17.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-23,13,3015268,133,16.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-24,13,3015268,160,27.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-25,13,3015268,160,0.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-26,13,3015268,200,40.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-27,13,3015268,230,30.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-28,13,3015268,260,30.0,0,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-29,14,3015268,289,29.0,1,1.0,,,
Centro-Oeste,DF,,53,,,,2020-03-30,14,3015268,312,23.0,1,0.0,,,
Centro-Oeste,DF,,53,,,,2020-03-31,14,3015268,332,20.0,3,2.0,,,
Centro-Oeste,DF,,53,,,,2020-04-01,14,3015268,355,23.0,3,0.0,,,
Centro-Oeste,DF,,53,,,,2020-04-02,14,3015268,370,15.0,4,1.0,,,
Centro-Oeste,DF,,53,,,,2020-04-03,14,3015268,402,32.0,5,1.0,,,
Centro-Oeste,DF,,53,,,,2020-04-04,14,3015268,454,52.0,7,2.0,,,
Centro-Oeste,DF,,53,,,,2020-04-05,15,3015268,468,14.0,7,0.0,,,
Centro-Oeste,DF,,53,,,,2020-04-06,15,3015268,473,5.0,10,3.0,,,
Centro-Oeste,DF,,53,,,,2020-04-07,15,3015268,492,19.0,12,2.0,,,
Centro-Oeste,DF,,53,,,,2020-04-08,15,3015268,509,17.0,12,0.0,,,
Centro-Oeste,DF,,53,,,,2020-04-09,15,3015268,527,18.0,13,1.0,,,
Centro-Oeste,DF,,53,,,,2020-04-10,15,3015268,555,28.0,14,1.0,,,
Centro-Oeste,DF,,53,,,,2020-04-11,15,3015268,579,24.0,14,0.0,,,
Centro-Oeste,DF,,53,,,,2020-04-12,16,3015268,614,35.0,14,0.0,,,
Centro-Oeste,DF,,53,,,,2020-04-13,16,3015268,638,24.0,15,1.0,,,
