regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos
Norte,RO,,11,,,,2020-03-20,12,1777225.0,1,0,,
Norte,RO,,11,,,,2020-03-21,12,1777225.0,1,0,,
Norte,RO,,11,,,,2020-03-22,13,1777225.0,3,0,,
Norte,RO,,11,,,,2020-03-23,13,1777225.0,3,0,,
Norte,RO,,11,,,,2020-03-24,13,1777225.0,3,0,,
Norte,RO,,11,,,,2020-03-25,13,1777225.0,5,0,,
Norte,RO,,11,,,,2020-03-26,13,1777225.0,5,0,,
Norte,RO,,11,,,,2020-03-27,13,1777225.0,6,0,,
Norte,RO,,11,,,,2020-03-28,13,1777225.0,6,0,,
Norte,RO,,11,,,,2020-03-29,14,1777225.0,6,0,,
Norte,RO,,11,,,,2020-03-30,14,1777225.0,6,0,,
Norte,RO,,11,,,,2020-03-31,14,1777225.0,8,1,,
Norte,RO,,11,,,,2020-04-01,14,1777225.0,9,1,,
Norte,RO,,11,,,,2020-04-02,14,1777225.0,10,1,,
Norte,RO,,11,,,,2020-04-03,14,1777225.0,10,1,,
Norte,RO,,11,,,,2020-04-04,14,1777225.0,11,1,,
Norte,RO,,11,,,,2020-04-05,15,1777225.0,12,1,,
Norte,RO,,11,,,,2020-04-06,15,1777225.0,14,1,,
Norte,RO,,11,,,,2020-04-07,15,1777225.0,18,1,,
Norte,RO,,11,,,,2020-04-08,15,1777225.0,18,1,,
Norte,RO,,11,,,,2020-04-09,15,1777225.0,28,2,,
Norte,RO,,11,,,,2020-04-10,15,1777225.0,32,2,,
Norte,RO,,11,,,,2020-04-11,15,1777225.0,33,2,,
Norte,RO,,11,,,,2020-04-12,16,1777225.0,35,2,,
Norte,RO,,11,,,,2020-04-13,16,1777225.0,42,2,,
Norte,RO,,11,,,,2020-04-14,16,1777225.0,64,2,,
Norte,RO,,11,,,,2020-04-15,16,1777225.0,69,2,,
Norte,RO,,11,,,,2020-04-16,16,1777225.0,76,3,,
Norte,RO,,11,,,,2020-04-17,16,1777225.0,92,3,,
Norte,RO,,11,,,,2020-04-18,16,1777225.0,110,3,,
Norte,RO,,11,,,,2020-04-19,17,1777225.0,128,4,,
Norte,RO,,11,,,,2020-04-20,17,1777225.0,160,4,,
Norte,RO,,11,,,,2020-04-21,17,1777225.0,199,4,,
