"estado","estadoSigla","municipio","cnes","dataNotificacaoOcupacao","ocupHospCli","ocupHospUti","ocupSRAGCli","ocupSRAGUti","altas","obitos","ocupacaoInformada","algumaOcupacaoInformada","nomeCnes","ofertaRespiradores","ofertaHospCli","ofertaHospUti","ofertaSRAGCli","ofertaSRAGUti"
"Rio de Janeiro","rj","Niterói","12769","2020-10-18T03:00:09.902Z",19.0,0.0,1.0,7,0.0,0,True,True,"","","","","",""
"Minas Gerais","MG","Passabém","2168200","2020-10-18T03:00:00.698Z",1.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL SAO JOSE PASSABEM",0.0,17.0,0.0,0.0,0.0
"Rio de Janeiro","RJ","Campos dos Goytacazes","2298317","2020-10-18T03:00:38.153Z",19.0,12.0,0.0,1,0.0,0,True,True,"HOSPITAL DOS PLANTADORES DE CANA",20.0,153.0,8.0,0.0,12.0
"Ceará","CE","Deputado Irapuan Pinheiro","2328437","2020-05-01T14:43:21.817Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL SAO BERNARDO",1.0,12.0,0.0,0.0,0.0
"Goiás","GO","Ceres","2337525","2020-10-17T16:38:04.000Z",10.0,9.0,1.0,1,6.0,0,True,True,"IMEC",7.0,26.0,0.0,0.0,0.0
"Ceará","CE","Fortaleza","2527057","2020-05-12T13:10:22.363Z",0.0,0.0,1.0,4,192.0,61,True,True,"CASA DE SAUDE E MATERNIDADE SAO RAIMUNDO",0.0,120.0,0.0,0.0,0.0
"Espírito Santo","ES","São José do Calçado","2547317","2020-10-18T03:00:12.938Z",26.0,8.0,0.0,0,0.0,0,True,True,"HOSPITAL SAO JOSE",6.0,66.0,10.0,0.0,0.0
"Ceará","CE","Paracuru","2562391","2020-10-18T03:00:52.269Z",2.0,0.0,0.0,0,0.0,0,True,True,"SANTA CASA DE PARACURU",1.0,42.0,0.0,0.0,0.0
"Rio de Janeiro","RJ","Mesquita","7011857","2020-10-18T03:00:08.182Z",0.0,0.0,0.0,0,1.0,0,True,True,"SES RJ COMPLEXO REG DE MESQUITA MATERNID E CLINICA DA MULHER",2.0,100.0,0.0,0.0,0.0
"Ceará","ce","Fortaleza","7018800","2020-05-12T12:40:09.887Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Tocantins","TO","Palmas","7373120","2020-10-18T03:00:00.000Z",27.0,8.0,7.0,5,0.0,0,True,True,"HOSPITAL PALMAS MEDICAL HPM",0.0,134.0,10.0,0.0,0.0
"Bahia","ba","Salvador","7633149","2020-10-17T03:00:00.000Z",20.0,4.0,2.0,3,1.0,0,True,True,"","","","","",""
"Maranhão","MA","Caxias","7891067","2020-10-18T03:00:52.330Z",65.0,19.0,4.0,8,0.0,0,True,True,"HOSPITAL REGIONAL DE CAXIAS DR EVERALDO FERREIRA ARAGAO",8.0,106.0,10.0,35.0,12.0
"Pará","PA","Santa Maria das Barreiras","2333589","2020-09-26T03:00:00.000Z",2.0,0.0,0.0,0,1.0,0,True,True,"HOSPITAL MUNICIPAL DE SANTA MARIA DAS BARREIRAS",1.0,28.0,0.0,0.0,0.0
"Ceará","CE","Aracati","2373009","2020-09-27T03:00:17.054Z",13.0,0.0,1.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE SANTA LUISA DE MARILLAC",0.0,49.0,0.0,0.0,0.0
"Rondônia","RO","Porto Velho","2493888","2020-09-29T04:00:48.986Z",0.0,4.0,0.0,0,1.0,0,True,True,"HOSPITAL JOAO PAULO II PORTO VELHO",48.0,134.0,45.0,14.0,8.0
"Paraná","PR","Corbélia","2738279","2020-09-28T03:00:10.049Z",4.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL SANTA SIMONE",1.0,34.0,0.0,0.0,0.0
"Paraná","pr","Marechal Cândido Rondon","9614990","2020-08-10T03:00:34.126Z",3.0,0.0,4.0,0,2.0,0,True,True,"","","","","",""
"Mato Grosso do Sul","ms","Campo Grande","9768","2020-08-06T09:09:00.000Z",0.0,0.0,0.0,0,0.0,0,True,True,"","","","","",""
"Bahia","BA","Rio de Contas","2509636","2020-08-10T03:00:27.587Z",2.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL DE RIO DE CONTAS",0.0,17.0,0.0,0.0,0.0
"Ceará","CE","Tabuleiro do Norte","2527693","2020-08-07T03:00:29.987Z",12.0,0.0,7.0,0,2.0,0,True,True,"CASA DE SAUDE MATERNIDADE CELESTINA COLARES",0.0,63.0,0.0,20.0,0.0
"Paraná","PR","Arapoti","2687011","2020-08-05T03:00:00.000Z",1.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL MUNICIPAL 18 DE DEZEMBRO",1.0,14.0,0.0,0.0,0.0
"Pernambuco","pe","Santa Cruz da Baixa Verde","2711451 ","2020-08-07T03:00:21.909Z",8.0,0.0,5.0,0,0.0,0,True,True,"","","","","",""
"Santa Catarina","sc","Florianópolis","708203113539445","2020-08-09T03:00:20.896Z",59.0,22.0,8.0,10,1.0,0,True,True,"","","","","",""
"Pernambuco","PE","Primavera","2356449","2020-08-06T03:00:19.867Z",0.0,0.0,3.0,0,3.0,0,True,True,"PRONTO ATENDIMENTO MENINO DEUS",0.0,4.0,0.0,4.0,0.0
"Mato Grosso","MT","Paranatinga","2699850","2020-08-05T18:29:30.320Z",0.0,0.0,0.0,0,0.0,0,True,True,"HOSPITAL E MATERNIDADE SAO BENEDITO",0.0,35.0,0.0,0.0,0.0
