"municipio","micro","meso"
"Água Branca","SERRA DO TEIXEIRA","SERTAO PARAIBANO"
"Aguiar","PIANCO","SERTAO PARAIBANO"
"Alagoa Grande","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Alagoa Nova","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Alagoinha","GUARABIRA","AGRESTE PARAIBANO"
"Alcantil","CARIRI ORIENTAL","BORBOREMA"
"Algodão de Jandaíra","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Alhandra","LITORAL SUL","MATA PARAIBANA"
"Amparo","CARIRI OCIDENTAL","BORBOREMA"
"Aparecida","SOUSA","SERTAO PARAIBANO"
"Araçagi","GUARABIRA","AGRESTE PARAIBANO"
"Arara","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Araruna","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
"Areia","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Areia de Baraúnas","PATOS","SERTAO PARAIBANO"
"Areial","ESPERANCA","AGRESTE PARAIBANO"
"Aroeiras","UMBUZEIRO","AGRESTE PARAIBANO"
"Assunção","CARIRI OCIDENTAL","BORBOREMA"
"Baía da Traição","LITORAL NORTE","MATA PARAIBANA"
"Bananeiras","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Baraúna","SERIDO ORIENTAL PARAIBANO","BORBOREMA"
"Barra de Santa Rosa","CARIRI ORIENTAL","BORBOREMA"
"Barra de Santana","CURIMATAU OCIDENTAL","AGRESTE PARAIBANO"
"Barra de São Miguel","CARIRI ORIENTAL","BORBOREMA"
"Bayeux","JOAO PESSOA","MATA PARAIBANA"
"Belém","GUARABIRA","AGRESTE PARAIBANO"
"Belém do Brejo do Cruz","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Bernardino Batista","CAJAZEIRAS","SERTAO PARAIBANO"
"Boa Ventura","ITAPORANGA","SERTAO PARAIBANO"
"Boa Vista","CAMPINA GRANDE","AGRESTE PARAIBANO"
"Bom Jesus","CAJAZEIRAS","SERTAO PARAIBANO"
"Bom Sucesso","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Bonito de Santa Fé","CAJAZEIRAS","SERTAO PARAIBANO"
"Boqueirão","CARIRI ORIENTAL","BORBOREMA"
"Borborema","BREJO PARAIBANO","AGRESTE PARAIBANO"
"Brejo do Cruz","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Brejo dos Santos","CATOLE DO ROCHA","SERTAO PARAIBANO"
"Caaporã","LITORAL SUL","MATA PARAIBANA"
"Cabaceiras","CARIRI ORIENTAL","BORBOREMA"
"Cabedelo","JOAO PESSOA","MATA PARAIBANA"
"Cachoeira dos Índios","CAJAZEIRAS","SERTAO PARAIBANO"
"Cacimba de Areia","PATOS","SERTAO PARAIBANO"
"Cacimba de Dentro","CURIMATAU ORIENTAL","AGRESTE PARAIBANO"
